Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,XOM,2017-10-27,0.0044487195,0.00359456,0.0035985067,100
Market Model,XOM,2011-04-28,0.0064058568,-0.009737777,-0.009848931,100
Market Model,XOM,2017-04-28,0.0081081081,0.0101780928,0.0101887074,100
Market Model,XOM,2006-07-28,0.0171171171,0.0081926549,0.0083362616,100
Market Model,XOM,2011-07-28,-0.054284698,-0.02756347,-0.026740157,100
Market Model,XOM,2017-07-28,-0.00410601,0.0021256178,0.0019732431,100
Market Model,XOM,2018-07-30,-0.032407407,-0.023693797,-0.023534481,100
Market Model,XOM,2010-10-28,-0.000601233,0.0011542335,0.001028137,100
Market Model,XOM,2016-10-28,-0.043288552,-0.04005274,-0.039550954,100
Market Model,XOM,2016-04-29,0.0075740448,0.0089352367,0.0089872982,100
Market Model,XOM,2016-07-29,-0.055549445,-0.062575395,-0.061728115,100
Market Model,XOM,2013-05-29,0.0061182126,0.0037342016,0.0037618585,100
Market Model,XOM,2014-05-29,-0.008188635,-0.013163287,-0.013161904,100
Market Model,XOM,2009-04-30,0.0138640429,-0.028244356,-0.029296811,100
Market Model,XOM,2010-04-30,-0.01951149,-0.025328389,-0.025071665,100
Market Model,XOM,2015-04-30,0.0119589977,0.0196871351,0.0197155413,100
Market Model,XOM,2009-01-30,-0.032302839,0.020288769,0.0198485059,100
Market Model,XOM,2014-01-30,-0.036487193,-0.033489188,-0.033042949,100
Market Model,XOM,2012-05-30,-0.042032164,-0.037273843,-0.036712928,100
Market Model,XOM,2018-05-30,0.0321433109,0.0408254123,0.0406725018,100
Market Model,XOM,2008-10-30,-0.009885119,-0.033046357,-0.033164154,100
Market Model,XOM,2009-10-30,-0.022887324,-0.016885218,-0.016870857,100
Market Model,XOM,2015-10-30,0.0364608653,0.0330859383,0.0333144477,100
Market Model,XOM,2020-10-30,0.0766550523,0.0710054861,0.0722912641,100
Market Model,XOM,2006-01-31,0.0107684777,0.0125319568,0.012064303,100
Market Model,XOM,2011-01-31,0.050450676,0.0433756915,0.0437196016,100
Market Model,XOM,2012-01-31,-0.021670744,-0.029636711,-0.02959917,100
Market Model,XOM,2017-01-31,-0.030054964,-0.022287495,-0.021996739,100
Market Model,XOM,2020-01-31,-0.052721884,-0.043234618,-0.042812423,100
Market Model,XOM,2008-07-31,-0.014585909,-0.013443651,-0.015261421,100
Market Model,XOM,2009-07-31,-0.010919782,-0.02929344,-0.02937741,100
Market Model,XOM,2014-07-31,-0.04587156,-0.031313039,-0.031140923,100
Market Model,XOM,2015-07-31,-0.061101756,-0.055372088,-0.054623693,100
Market Model,XOM,2020-07-31,-0.040426982,-0.045056236,-0.045442099,100
Market Model,XOM,2005-10-31,0.0143884892,-0.017834012,-0.017974188,100
Market Model,XOM,2013-10-31,0.0100078714,0.0177663558,0.0177604281,100
Market Model,XOM,2014-10-31,0.0070832012,-0.005943185,-0.006353615,100
Market Model,GM,2008-08-01,-0.114035088,-0.071555621,-0.068720177,100
Market Model,GM,2007-02-01,0.0113427345,-0.011297209,-0.011432352,100
Market Model,GM,2009-04-02,0.0824742268,-0.014165246,-0.017067937,100
Market Model,GM,2008-06-03,-0.005263158,0.0292352606,0.0281621287,100
Market Model,GM,2007-05-03,-0.01341853,-0.023439091,-0.025571101,100
